TERMS,DEFINITIONS
phosphate,"A mineral group composed of phosphorus and oxygen plus an element or elements, for example, calcium in apatite, Ca5(F,Cl,OH)PO4; and copper and aluminum in turquoise, CuAl6(PO4)4(OH)8."
phlogopite,"A magnesium-rich mineral of the mica group: KMg3Si3AlO10(F,OH)2. It is a yellowish brown to brownish red or copper-colored, and usually occurs in crystalline limestones as a result of dedolomitization."
phosphatic,Pertaining to or containing phosphate minerals.
phreatic,Of or relating to groundwater.
phreatic explosion,"A volcanic explosion of steam, mud, or other material that is not incandescent (hot enough to glow); caused by the heating and consequent expansion of groundwater due to an underlying igneous heat source."
phreatic zone,The zone of saturation.
phreatomagmatic,See “hydrovolcanic.”
phreatophyte,A deeply rooted plant that obtains water from the water table or through the overlying capillary fringe.
phyllite,"A metamorphic rock, intermediate between slate and mica schist, with minute crystals of graphite, sericite, or chlorite that impart “schistosity” (a silky sheen)."
picrite,"A dark-colored, generally hypabyssal, extrusive igneous rock composed of <52% silica and containing abundant olivine along with pyroxene, biotite, possibly amphibole, and <10% plagioclase."
pictograph,A picture painted on a rock by primitive peoples.
piedmont,"A gently sloping area at the base of a mountain front. Synonymous with “bajada.” Also, describes a feature (e.g., plain, slope, or glacier) that lies or formed at the base of a mountain or mountain range."
piedmont glacier,"A thick, continuous sheet of ice on land at the base of a mountain range, formed by spreading out and coalescing of valley glaciers from higher elevations."
piedmont lake,A lake occupying a partly overdeepened basin that was excavated in rock or dammed by a moraine of a piedmont glacier.
pillow lava,A general term for lavas displaying pillow structures and considered to have formed in a subaqueous environment; such lava is usually basaltic or andesitic.
pillow structure,A structure observed in certain extrusive igneous rocks that is characterized by discontinuous bun-shaped masses ranging in size from a few centimeters to a meter or more in greatest dimension. They are considered to be the result of subaqueous extrusion.
piping,"Erosion or solution by percolating water in a layer of subsoil, resulting in the formation of narrow conduits, tunnels, or “pipes” through which soluble or granular soil material is removed."
pipy concretion,"A hard, compact mass of mineral matter formed in an elongated or pipelike shape."
pisolite,"A sedimentary rock, usually limestone, made up of pisoids (round or ellipsoidal accretionary bodies commonly composed of calcium carbonate) cemented together."
placer,"A concentrated deposit of minerals, usually heavy, such as gold, cassiterite, or rutile, in a beach or stream deposit."
placer mining,"The extraction of metals or minerals from placers, usually involves running water."
plagioclase,A silicate (silicon + oxygen) mineral of the feldspar group that contains both sodium and calcium ions that freely substitute for one another; characterized by striations (parallel lines) in hand specimens.
planar,"Lying or arranged as a plane or in planes, usually implying more or less parallelism, as in bedding or cleavage."
plastic,Describes a material capable of permanently deforming without rupturing.
plate,"Thin, flat fragment of rock, such as a slab of flagstone."
plate boundary,"A zone of seismic and tectonic activity along the edges of lithospheric plates, resulting from the relative motion among plates."
plate tectonics,"A theory of global tectonics in which the lithosphere is divided into about 20 rigid plates that interact with one another at their boundaries, causing seismic and tectonic activity along these boundaries."
plateau,"A broad, flat-topped topographic high (terrestrial or marine) of great extent and elevation above the surrounding plains, canyons, or valleys."
platform,Any level or nearly level surface.
platy,"Describes a sedimentary particle whose length is more than three times its thickness; also describes a sandstone or limestone that splits into thin layers, 2 to 10 mm (0.08 to 0.4 in) thick."
playa,"A dry, vegetation-free, flat area at the lowest part of an undrained desert basin."
playa lake,"A shallow, intermittent lake in an arid region, covering up or occupying a playa in the wet season but subsequently drying up."
Plinian eruption,"An explosive eruption characterized by large amounts of tephra and a tall eruption column from which a steady, turbulent stream of fragmented magma and magmatic gas is released at a high velocity."
plug,"A vertical, pipelike body of magma that represents the conduit to a former vent. Also, a lava-filled crater whose surrounding material has been removed by erosion."
plume,"A persistent, pipelike body of hot material moving upward from Earth’s mantle into the crust."
pluton,A deep-seated igneous intrusion.
plutonic,Describes an igneous rock or intrusive body formed at great depth beneath Earth’s surface.
pluvial,Describes a geologic process or feature resulting from rain.
poikilitic,Describes the texture of an igneous rock in which small grains of one mineral are irregularly scattered within a typically anhedral larger crystal of another mineral.
point bar,"A low ridge of sand and gravel deposited in a stream channel on the inside of a meander, where flow velocity slows."
polymorph,A crystal form of a substance that displays polymorphism.
polymorphism,The characteristic of a chemical substance to crystallize in more than one form.
polyp,"An individual coelenterate (e.g., coral) with a hollow tubular or columnar body terminating at the top in a central mouth surrounded by upward directed tentacles."
porosity,The percentage of total void space in a volume of rock or unconsolidated deposit.
porphyritic,Describes an igneous rock of any composition that contains conspicuous phenocrysts (larger crystals) in a fine-grained groundmass.
porphyry,An igneous rock consisting of abundant coarse-grained crystals in a fine-grained groundmass.
porphyroclast,"A partly crushed, unmetamorphosed rock fragment within a finer-grained matrix in a metamorphic rock."
potassium feldspar,"A feldspar mineral rich in potassium such as orthoclase, microcline, and sanidine."
potentiometric surface,A surface representing the total head of groundwater and defined by the level to which water will rise in tightly cased wells.
Precambrian,A commonly used term to designate all rocks older than the Cambrian Period of the Standard Global Chronostratigraphic Scale. It includes the Archean and Proterozoic eons and represents 90% of geologic time.
pressure ridge (sea ice),"A rugged, irregular wall of floating broken ice buckled upward by the lateral pressure of wind or current forcing or squeezing one floe against another."
pressure ridge (volcanic),"An elongate uplift of the congealing crust of a lava flow, buckled upward by laterally directed pressure."
principle of uniformity,The assumption of uniformity of causes or processes throughout time and space; the uniformity of natural laws. Not synonymous with “uniformitarianism.”
prodelta,The part of a delta below the level of wave erosion.
progradation,The seaward building of land as a result of sedimentary deposition.
propylitization,Describes low-pressure and low-temperature alteration around many ore bodies.
protalus rampart,"An arcuate ridge of coarse, angular blocks of rock that mark the downslope edge of an existing or melted snowbank."
protolith,"The unmetamorphosed rock from which a given metamorphic rock was formed. Synonymous with “parent rock.” Also, the parent rock from which regolith is formed."
provenance,"A place of origin, specifically the area from which the constituent materials of a sedimentary rock were derived."
pseudomorph,"A mineral whose outward crystal form resembles that of another mineral; described as being “after” the mineral whose outward form it has (e.g., quartz after fluorite)."
pull-apart basin,A topographic depression created by an extensional bend or extensional overstep along a strike-slip fault.
pumice,A highly vesicular pyroclast with very low bulk density and thin vesicle walls.
pumiceous,Describes a texture of volcanic rock consisting of tiny gas holes such as in pumice; finer than scoriaceous.
pyroclast,An individual particle ejected during a volcanic eruption; usually classified according to size.
pyroclastic,"Describes clastic rock material formed by volcanic explosion or aerial expulsion from a vent; also, describes a rock texture of explosive origin. It is not synonymous with “volcanic.”"
pyroclastic flow,"A hot, typically >800°C (1,500°F), chaotic mixture of rock fragments, gas, and ash that travels rapidly (tens of meters per second) away from a volcanic vent or collapsing flow front."
pyroclastic surge,"Low-density, dilute, turbulent pyroclastic flow. The deposits may be thinly bedded, laminated, and cross-bedded."
pyroxene,"A group of silicate (silicon + oxygen) minerals composed of magnesium and iron with the general formula (Mg,Fe)SiO3; characterized by short, stout crystals in hand specimens."
quartz,"Silicon dioxide, SiO2. The only silicate (silicon + oxygen) mineral consisting entirely of silicon and oxygen. Synonymous with “crystalline silica.”"
quartzite,"Metamorphosed quartz sandstone. A medium-grained, nonfoliated metamorphic rock composed mostly of quartz."
quartz monzonite,An intrusive igneous rock of granitic composition but with about as much plagioclase as alkali feldspar.
quartzose,Containing quartz as a principal constituent.
radioactivity,The spontaneous decay or breakdown of unstable atomic nuclei.
radiocarbon age,An isotopic age expressed in years and calculated from the quantitative determination of the amount of carbon-14 remaining in an organic material. Synonymous with “carbon-14 age.”
radiolarian,"Any actinopod (protozoan) belonging to the subclass Radiolaria, characterized by a siliceous skeleton and a marine pelagic environment. Range: Cambrian to Holocene."
radiometric age,An age (in years) calculated from the quantitative determination of radioactive elements and their decay products. The preferred term is “isotopic age.”
ravinement,"From the French meaning “hollowing out (by waters),” an irregular junction that marks a break in sedimentation, such as an erosion line occurring where shallow–water marine deposits have “scooped down into” (or “ravined”) slightly eroded underlying beds; a small-scale disconformity caused by periodic invasions of the sea over a deltaic area."
rebound,Upward flexing of Earth’s crust. Synonymous with “upwarping.”
recharge,The addition of water to the saturated zone below the water table.
red bed,"Sedimentary strata that is predominantly red due to the presence of ferric iron oxide (hematite) coating individual grains; usually sandstone, siltstone, or shale."
reef,"A ridgelike or moundlike structure, layered or massive, built by sedentary calcareous organisms (e.g., corals) and consisting mostly of their remains."
reef crest,"The sharp break in slope at the seaward margin of a reef flat, located at the top of the reef front; marked by dominance of a particular coral species (such as Acropora palmata throughout the Caribbean) or by an algal ridge and/or surge channels."
reef flat,"A stony platform of reef rock, landward of the reef crest at or above the low tide level, commonly strewn with coral fragments and coral sand and less commonly covered by patches of living coral and associated organisms."
reef front,The upper part of the outer or seaward slope of a reef.
reef rock,"A resistant massive unstratified rock composed of the calcareous remains of reef-building organisms and commonly carbonate sand, entirely cemented by calcium carbonate."
reflection shooting,"A type of seismic survey based on measurement of the travel times of seismic waves that originate from an artificially produced disturbance and are reflected back at near-vertical incidence from subsurface boundaries, resulting in a separation of media of different densities and/or elastic-wave velocities."
refraction,"The deflection of a ray of light or of an energy wave (such as a seismic wave) due to its passage from one medium to another of differing density, which changes its velocity."
refraction shooting,"A type of seismic survey based on the measurement of the travel times of seismic waves that have traveled nearly parallel to the bedding in high-velocity layers, in order to map such layers."
regional metamorphism,"A type of metamorphism that affects an extensive region, as opposed to local metamorphism that affects a relatively restricted area."
regolith,"From the Greek “rhegos” (blanket) + “lithos” (stone), the layer of unconsolidated rock material that forms the surface of the land and overlies or covers bedrock; includes rock debris of all kinds, volcanic ash, glacial drift, alluvium, loess, and aeolian deposits, vegetal accumulations, and soil."
regression,Long-term seaward retreat of the shoreline or relative fall of sea level.
rejuvenation,The renewal of any geologic process.
relative dating,"The chronological placement and ordering of rocks, events, or fossils with respect to the geologic time scale and without reference to numerical ages."
relict,"Describes a topographic feature that remains after other parts of the feature have been removed or have disappeared, for example, a “relict beach ridge” or a “relict hill.” Also, a landform made by processes no longer operative such as glaciated forms in the northern United States or sand dunes in rain forests."
reverse fault,A contractional high-angle (greater than 45°) dip-slip fault in which the hanging wall moves up relative to the footwall.
reservoir,"An artificial or natural storage place for water, such as a lake, pond, or aquifer, from which the water may be withdrawn for such purposes as irrigation, municipal water supply, or flood control."
reservoir rock,A permeable rock layer where hydrocarbons have migrated and are held underground.
resurgent caldera,A caldera in which the downdropped block is uplifted by magmatic intrusion following crater formation.
resurgent cauldron,"A cauldron in which the cauldron block, following subsidence, has been uplifted, usually in the form of a structural dome."
rhizome,"A somewhat elongated, usually horizontal underground plant stem that is often thickened by storage of reserve food material, produces shoots above and roots below, and is distinguished from the true root in possessing buds, nodes, and usually scalelike leaves."
rhyodacite,A volcanic rock that contains approximately 68%–72% silica and is intermediate in composition between rhyolite and dacite.
rhyolite,"A volcanic rock that is characteristically light in color, contains approximately 72% or more of silica, and is rich in potassium and sodium."
rift,"A region of Earth’s crust where extension results in formation of many related normal faults, commonly associated with volcanic activity."
rift valley,A depression formed by grabens along the crest of a mid-ocean ridge or in a continental rift zone.
right-lateral fault,A strike-slip fault on which the side opposite the observer has been displaced to the right.
rill,"A very small brook or trickling stream of water usually without any tributaries. Also, the channel formed by such a stream."
rille,"A trenchlike or cracklike valley, commonly occurring on a planetary surface subjected to plains volcanism; may be irregular with a meandering course (sinuous rille) or relatively straight (normal rille)."
rincon,"Meaning “inside corner or nook” in Spanish and used in the southwestern United States for a square-cut recess or hollow in a cliff or a reentrant in the borders of a mesa or plateau. Also used for a small, secluded valley, and for a bend in a stream."
rip current,"A strong, narrow, surface or near-surface current of short duration (a few minutes to an hour or two) and high velocity (up to 2 knots), flowing seaward from the shore through the breaker zone at nearly right angles to the shoreline, appearing as a visible band of agitated water returning to the sea after being piled up on the shore by incoming waves and wind."
ripple marks,"The undulating, approximately parallel and usually small-scale pattern of ridges formed in sediment by the flow of wind or water."
riprap,"A layer of large, durable rock fragments placed in an attempt to prevent erosion by water and thus preserve the shape of a surface, slope, or underlying structure."
rip-up clast,"A mud clast (usually flat) that has been “ripped up” by currents from a semiconsolidated mud deposit, transported, and deposited elsewhere; commonly associated with a storm or other high-energy event."
roche moutonnée,"A glacially sculpted, elongated bedrock knob or hillock."
rock,"An aggregate of one or more minerals (e.g., granite), a body of undifferentiated mineral matter (e.g., obsidian), or a body of solid organic material (e.g., coal)."
rockfall,"The most rapid type of slope movement in which a newly detached fragment of bedrock of any size falls from a cliff or other very steep slope, traveling straight down or in a series of leaps and bounds down a slope."
rock glacier,"A mass of poorly sorted angular boulders and fine material, with interstitial ice a meter or so below the surface (ice-cemented) or containing a buried ice glacier (ice-cored)."
rodent,"Any of the order Rodentia of relatively small, gnawing animals such as a mouse, squirrel, or beaver that have in both jaws a single pair of incisors with a chisel-shaped edge."
roundness,The relative amount of curvature of the “corners” of a sediment grain.
roundstone,Any naturally rounded rock fragment larger than a sand grain.
runup,"The advance of water up the foreshore (between high- and low-water marks) of a beach, following the breaking of a wave."
rutile,"A reddish-brown oxide mineral of titamium, TiO2."
sabkha,"Any flat area, either coastal or interior, where saline minerals crystallize near or at the surface as a result of deflation or evaporation."
salic,"Derived from silicon + aluminum + ic to describe an igneous rock having abundant light-colored, silicon- or aluminum-rich minerals such as quartz and feldspar; also, describes those minerals."
saltation,"A mode of sediment movement, driven by wind or water, whereby materials move through a series of intermittent leaps or jumps."
sand,"A clastic particle smaller than a granule and larger than a silt grain, with a diameter ranging from 1/16 to 2 mm (0.0025 to 0.08 in)."
sand sheet,"A sheetlike body of surficial sediment, commonly sand, that veneers the underlying stratigraphic units (unconsolidated deposits or bedrock) and can range in thickness from a few centimeters to tens of meters, with a lateral persistence of a few meters to tens of kilometers."
sandstone,Clastic sedimentary rock composed of predominantly sand-sized grains.
sanidine,A silicate (silicon + oxygen) mineral of the alkali feldspar group.
sapping,"The natural process of erosion along the base of a cliff by the wearing-away of softer layers, commonly involving the weakening or rock by groundwater conducted along the contact between rock strata, and thus removing the support for the upper mass which breaks off into large blocks falling from a cliff face."
saprolite,"A soft, earthy, typically clay-rich, thoroughly decomposed rock, formed in place by chemical weathering of igneous, sedimentary, and metamorphic rocks."
saturated zone,A subsurface zone in which all the interstices are filled with water under pressure greater than that of the atmosphere; separated from the unsaturated zone (above) by the water table.
scarp,A steep cliff or topographic step resulting from displacement on a fault or as a result of slope movement or erosion. Synonymous with “escarpment.”
schist,"A medium- to coarse-grained, strongly foliated, metamorphic rock with eminently visible mineral grains, particularly mica, which are arranged parallel, imparting a distinctive sheen, or “schistosity,” to the rock."
schistose,"Describes a rock displaying schistosity, or foliation, which imparts a silky sheen."
schistosity,"The foliation in schist or other coarse-grained, crystalline rock resulting from the parallel alignment of platy mineral grains of mica or inequant crystals of other minerals."
schorlomite,"A black or brown-black cubic mineral of the garnet group: Ca3(Ti4+, Fe3+)2(Si,Fe3+)3O12."
scoria,A bomb-size pyroclast that is irregular in form and generally very vesicular.
scoria cone,"A conical volcanic feature formed by the accumulation of scoria and other pyroclasts, usually of basaltic or andesitic composition."
scoriaceous,Describes a texture of volcanic rock consisting of relatively large gas holes such as in vesicular basalt; coarser than pumiceous.
scour,"The powerful and concentrated clearing and digging action of flowing water, air, or ice."
seafloor spreading,"A process whereby new oceanic crust is formed by upwelling of magma at the center of mid-ocean ridges and by a moving-away of the new material from the site of upwelling at rates of 1 to 10 cm (2 to 25 in) per year. This movement provides the source of seafloor within the theory of plate tectonics, which also contains a provision for destruction of seafloor by subduction."
seagrass,"Flowering plants from four families (Posidoniaceae, Zosteraceae, Hydrocharitaceae, and Cymodoceaceae) all in the order Alismatales, which grow in marine environments."
seamount,"An elevated portion of the sea floor, 1,000 m (3,300 ft) or higher, either flat-topped or peaked."
sediment,"An eroded and deposited, unconsolidated accumulation of rock and mineral fragments."
sedimentary,Pertaining to or containing sediment.
sedimentary rock,"A rock resulting from the consolidation of loose sediment that has accumulated in layers; it may be “clastic,” consisting of mechanically formed fragments of older rock; “chemical,” formed by precipitation from solution; or “organic,” consisting of the remains of plants and animals. One of the three main classes of rock—igneous, metamorphic, and sedimentary."
sedimentation,"The process of forming or accumulating sediment into layers, including the separation of rock particles from parent rock, the transportation of these particles to the site of deposition, the actual deposition or settling of the particles, the chemical and other changes occurring in the sediment, and the ultimate consolidation of the sediment into solid rock."
seiche,"An oscillation of a body of water in an enclosed or semi-enclosed basin that varies in period—depending on the physical dimensions of the basin—from a few minutes to several hours, and in height from several centimeters to a few meters; primarily caused by local changes in atmospheric pressure, aided by winds, tidal currents, and earthquakes."
seismic,"Pertaining to an earthquake or Earth vibration, including those that are artificially induced."
seismicity,The phenomenon of movements in the Earth’s crust. Synonymous with “seismic activity.”
septaria,"A large, 8–90 cm (3–35 in) across, roughly spheroidal concretion characterized by a series of radiating cracks that are invariably filled or partly filled by crystalline minerals, most commonly calcite."
septarian,Describes the irregular polygonal pattern of internal cracks developed in septaria; closely resembles the desiccation structure of mud cracks.
sequence,"A succession of geologic events, processes, or rocks, arranged in chronologic order to show their relative position and age with respect to geologic history as a whole. Also, a rock-stratigraphic unit that is traceable over large areas and defined by sediment associated with a major sea level transgression–regression."
seriate,A variety of igneous porphyritic texture in which the sizes of grains range gradually down to the size of groundmass grains.
sericite,"An alteration product of various aluminosilicate minerals—specifically a white, fine-grained potassium mica, usually muscovite or very close to muscovite in composition—occurring as small scales and flakes in metamorphic rocks."
series,A chronostratigraphic unit next in rank below system and above stage; the rocks formed during an “epoch” of geologic time.
serpentine,"A group of silicate (silicon + oxygen) minerals with the general formula (Mg,Al,Fe,Mn,Ni,Zn)2–3(Si,Al,Fe)2O5(OH)4, characterized by a greasy or silky luster, a slightly soapy feel, and conchoidal fracture."
serpentinite,"A nonfoliated, metamorphic rock characterized by mottled shades of green and a resemblance to the skin of a serpent; consists almost entirely of serpentine minerals."
serpulid,Any annelid (ocean worm) that belongs to the family Serpulidae and that characteristically builds a contorted calcareous or leathery tube on a submerged surface. Range: Middle Triassic to Holocene.
shale,A clastic sedimentary rock made of clay-sized particles and characterized by fissility.
shear,Deformation resulting from stresses that cause contiguous parts of a body to slide relatively to each other in a direction parallel to their plane of contact.
sheet,"A general term for a tabular igneous intrusion, especially those that are concordant (parallel to preexisting rock bodies) or only slightly discordant (cutting across preexisting rock bodies)."
shear zone,A zone of rock that has been crushed and brecciated by many parallel fractures as a result of shearing.
sheet erosion,"The removal of thin layers of surface material more or less evenly from an extensive area of gently sloping land by broad continuous sheets of running water, rather than by streams flowing in well-defined channels."
sheetflood,"A broad expanse of moving, storm-borne water that spreads as a thin, continuous, relatively uniform film over a large area in an arid region and that is not concentrated into well-defined channels; its distance of flow is short and its duration is measured in minutes or hours, commonly occurring after a period of sudden and heavy rainfall."
sheet flow,"The downslope movement or overland flow of water, in the form of a thin, continuous film, over relatively smooth soil or rock surfaces and not concentrated into channels larger than rills."
sheetwash,"A sheetflood occurring in a humid region. Also, the material transported and deposited by such a sheetflood. Used as a synonym of “sheet flow” and “sheet erosion.”"
shield volcano,"A broad shield-shaped volcano that is built up by successive, mostly effusive, eruptions of low-silica lava."
shoal,"A relatively shallow place in a stream, lake, sea, or other body of water."
shoaling,"To become shallow gradually, to fill up or block off with a shoal, or to proceed from a greater to a lesser depth of water."
shoreface,The zone between the seaward limit of the shore and the more nearly horizontal surface of the offshore zone; typically extends seaward to storm wave depth or about 10 m (30 ft).
shoreface ravinement surface,"An abrupt, scoured surface that is interpreted to have been formed by the erosive action of shoreface currents and waves during landward movement of the shoreline. Marine strata, which in general display a deepening-upward trend, must directly overlie the surface."
sierra,"A high range of hills or mountains, especially one having jagged or irregular peaks that resemble the teeth of a saw."
silica,"Silicon dioxide, SiO2, an essential constituent of many minerals, occurring as crystalline quartz, cryptocrystalline chalcedony, and amorphous opal."
silicate,"A mineral group composed of silicon (Si) and oxygen (O) plus an element or elements, for example, quartz, SiO2; olivine, (Mg, Fe)2SiO4; and pyroxene, (Mg,Fe)SiO3; as well as the amphiboles, micas, and feldspars."
silicate tetrahedron,"A complex ion formed by four oxygen ions surrounding a silicon ion in a tetrahedral configuration, SiO4; the basic unit of the silicates."
silicic,Describes a silica-rich igneous rock or magma.
silicic magma,"Describes magma that contains more than 65% silica; generally viscous, gas-rich, and tends to erupt explosively."
siliciclastic,Describes noncarbonate clastic rocks.
siliceous,Describes a rock or other substance containing abundant silica.
sill,An igneous intrusion that parallels the bedding of preexisting sedimentary rock or the foliation of preexisting metamorphic rock.
silt,"Clastic sedimentary material intermediate in size between fine-grained sand and coarse clay, 0.0039 to 0.063 mm (0.00015 to 0.0025 in) across."
silting,"The accumulation of silt suspended throughout a body of standing water or in some considerable portion of it. In particular, the choking, filling, or covering with stream-deposited silt behind a dam or other place of retarded flow, or in a reservoir. Synonymous with “siltation.”"
siltstone,A clastic sedimentary rock composed of silt-sized grains.
sinkhole,"A circular, commonly funnel-shaped depression in a karst area with subterranean drainage."
sinter,"The lightweight, porous, opaline variety of silica that is white or nearly white and deposited as an incrustation by precipitation from the waters of geysers and hot springs."
skarn,"Rocks composed mostly of lime-bearing silicates derived from nearly pure limestones and dolomites into which large amounts of silica, aluminum, iron, and magnesium have been introduced."
slabbing,"Rock splitting into slabs along closely spaced parallel fissures, commonly falling under the force of gravity from a cliff face."
slate,"A fine-grained, foliated metamorphic rock that easily splits into slabs and thin plates."
slickenside,A smoothly polished and commonly striated surface representing a fault plane.
slip face,"The steeply sloping surface on the lee side of a dune, standing at or near the angle of repose of loose sand, and advancing downwind by a succession of slides wherever that angle is exceeded."
slope,"The inclined surface of any part of Earth’s surface, such as a hillslope. Also, a broad part of a continent descending into an ocean."
slope movement,The gradual or rapid downslope movement of soil or rock under gravitational stress. Synonymous with “mass wasting.”
slope wash,"Soil and rock material that is or has been transported down a slope under the force of gravity and assisted by running water not confined to channels; also, the process by which slope-wash material is moved."
slump,"A generally large, coherent slope movement with a concave failure surface and subsequent backward rotation relative to the slope."
smectite,A group of expanding-lattice clay minerals derived from the alteration of volcanic glass and from the weathering of primary silicates.
soapstone,"A soft metamorphic rock with a fibrous or flakey texture and a soapy feel, composed mostly of talc with lesser amounts of other minerals."
soil,"The unconsolidated portion of the Earth’s crust modified through physical, chemical, and biotic processes into a medium capable of supporting plant growth."
solar tide,The part of the tide caused solely by the tide-producing force of the Sun.
solifluction,"The slow downslope movement of waterlogged soil, normally at rates of 0.5 to 5.0 cm (0.2 to 2 in) per year; especially, the flow occurring at high elevations in regions underlain by frozen ground, which acts as a downward barrier to water percolation."
solifluction lobe,"An isolated, tongue-shaped feature, as much as 25 m (80 ft) wide and 150 m (490 ft) long, formed by more rapid solifluction on certain sections of a slope; commonly has a steep front (15°–25°) and a relatively smooth upper surface."
solute,A dissolved substance.
sorted,Describes an unconsolidated sediment consisting of particles of essentially uniform size.
sorting,"The dynamic process by which sedimentary particles having some particular characteristic (such as similarity of size, shape, or specific gravity) are naturally selected and separated from associated but dissimilar particles by the agents of transportation."
source rock,In petroleum geology: a rock layer from which hydrocarbons have been generated or are capable of being generated. Source rocks contain sufficient organic matter to be a future source of hydrocarbons.
spalling,"The process by which scales, plates, or flakes of rock, from less than a centimeter to several meters thick, successively fall from the bare surface of a large rock mass; a form of exfoliation."
spar,"A term loosely applied to any transparent or translucent light-colored crystalline material, usually readily cleavable and somewhat lustrous."
spatter,"An accumulation of initially very fluid pyroclasts, usually stuck together, coating the surface around a vent."
spatter cone,"A low, steep-sided cone of spatter built up on a fissure or vent, usually composed of basaltic material."
specific conductance,The measure of discharge of a water well per unit of drawdown.
speleothem,Any secondary mineral deposit that forms in a cave.
sphene,A usually yellow or brown accessory mineral in granitic rocks and in calcium-rich metamorphic rocks; also called titanite.
spreading center,A divergent plate boundary where two lithospheric plates are spreading apart. It is a source of new crustal material.
spring,A place where groundwater flows naturally from a rock or the soil onto the land surface or into a body of surface water.
squeeze-up,A small accumulation of viscous lava extruded under pressure from a fracture or opening onto the solidified surface of a lava flow.
stade,An interval of a glacial stage marked by glacial readvance.
stage (glacial),"A major subdivision of a glacial epoch, particularly one of the cycles of growth and disappearance of the Pleistocene ice sheets."
stage (stratigraphy),"A chronostratigraphic unit next in rank below series and above substage, based on biostratigraphic zones considered to approximate time-equivalent deposits; rocks formed during an “age” of geologic time."
stalactite,"A conical or cylindrical speleothem that hangs from the ceiling or wall of a cave, deposited from drops of water and usually composed of calcite but may be formed of other minerals."
stalagmite,"A conical or cylindrical speleothem that is developed upward from the floor of a cave by the action of dripping water, usually formed of calcite but may be formed of other minerals."
staurolite,"A silicate (silicon + oxygen) mineral of iron and aluminum, commonly with some magnesium and zinc, (Fe,Mg)4Al17(Si,Al)8O45(OH)3, characterized by twinned crystals that resemble a cross."
stock,A relatively small plutonic body having an aerial extent less than 100 km2 (40 mi2) and no known floor.
stone stream,"An accumulation of boulders or angular blocks, with no fine sizes in the upper part, over solid or weathered bedrock, colluvium, or alluvium; usually occur at the heads of ravines but may extend into forests or fill a valley floor; may exist on any slope angle, but ordinarily not steeper than 40°."
stope,An underground excavation formed by the extraction of ore.
storm surge,"An abnormal, sudden rise of sea level along an open coast during a storm, caused primarily by strong winds offshore, or less frequently, a drop in atmospheric pressure, resulting in water piled up against the coast. It is most severe during high tide."
storm tide,"The total observed seawater level during a storm, resulting from the combination of storm surge and the astronomical tide. An erroneous synonym of “storm surge.”"
strand plain,"A shore built seaward by waves and currents, extending continuously for some distance along the coast."
strata,"Tabular or sheetlike layers of sedimentary rock that are visually distinctive from other layers above and below. The singular form of the term is stratum, but is less commonly used."
strath,"An extensive terracelike remnant of a broad valley floor that has undergone dissection, commonly covered by a veneer of alluvium."
stratification,"The accumulation or layering of sedimentary rocks as strata. Tabular, or planar, stratification refers to essentially parallel surfaces. Cross-stratification refers to strata inclined at an angle to the main stratification."
stratigraphic,Of or pertaining to strata.
stratigraphy,"The geologic study of the origin, occurrence, distribution, classification, correlation, and age of rock layers, especially sedimentary rocks."
stratotype,"The original or subsequently designated standard of reference of a named layered stratigraphic unit or of a stratigraphic boundary. Also, a specific interval or point in a sequence of rock strata that constitutes the standard of the definition and characterization of the stratigraphic unit or boundary being defined. Synonymous with “type section.”"
stratovolcano,"A volcano that is constructed of alternating layers of lava and pyroclastic deposits, along with abundant dikes and sills. Viscous, high-silica lava may flow from fissures radiating from a central vent, from which pyroclastic material is ejected. Synonymous with “composite volcano.”"
stream,Any body of water moving under gravity flow in a clearly confined channel.
stream capture,The natural diversion of the headwaters of one stream into the channel of another stream having greater erosional activity. Synonymous with “stream piracy.”
stream channel,"A long, narrow depression shaped by the concentrated flow of stream water."
stream terrace,"A planar surface alongside a stream valley representing the remnants of an abandoned floodplain, stream bed, or valley floor produced during a former stage of erosion or deposition."
striations,Parallel scratches or lines.
striations (glacial),"One of a series of long, delicate, finely cut, commonly straight and parallel furrows or lines inscribed on a bedrock surface by the rasping and rubbing of rock fragments embedded at the base of a moving glacier, usually oriented in the direction of ice movement; also form on the rock fragments transported by a glacier."
strike,The compass direction of the line of intersection of an inclined surface with a horizontal plane.
strike-slip fault,"A fault with measurable offset where the relative movement is parallel to the strike of the fault. Described as left-lateral (sinistral) when relative motion of the block opposite the observer is to the left, and right-lateral (dextral) when relative motion is to the right."
stromatolite,"An sedimentary structure produced by sediment trapping, binding, and/or precipitation as a result of the growth and metabolic activity of microorganisms, principally cyanophytes (blue-green algae); occurs in a variety of forms, from nearly horizontal to markedly columnar, domal, or subspherical."
structural geology,"The branch of geology that deals with the description, representation, and analysis of structures, primarily on a moderate to small scale. The subject is similar to tectonics, but the latter term is generally used for the analysis of broader regional or historical phases."
structure,"The attitudes and relative positions of the rock masses of an area resulting from such processes as faulting, folding, and igneous intrusion."
subaerial,Describes a condition or process that exists or operates in the open air on or immediately adjacent to the land surface.
subangular,"Said of a sedimentary particle showing effects of slight abrasion, retaining its original form, and have faces that are virtually untouched and edges and corners that are rounded off to some extent."
subaqueous,"Describes conditions and processes, or features and deposits, that exist or are situated in or under water."
subbituminous,"Describes black coal, intermediate in rank between lignite and bituminous coal; distinguished from lignite by higher carbon and lower moisture content."
